[11095, 9638]
[28896, 37439]
[3900, 3822]
[1787, 1274]
[22340, 31743]
[44106, 77707]
[27891, 16171]
[42895, 90853]
[17383, 16901]
[51747, 56061]
[9807, 15974]
[10613, 9003]
[1386, 2026]
[43476, 77965]
[37800, 9380]
[8976, 15756]
[4886, 8479]
[46506, 63628]
[54229, 58130]
[17912, 12267]
[52017, 114567]
[60435, 31708]
[6135, 2529]
[19415, 35767]
[17267, 23487]
[53932, 25632]
[20327, 38793]
[50327, 24653]
[53842, 59437]
[45512, 52489]
[35916, 36009]
[12314, 27776]
[17757, 15478]
[3587, 2747]
[12902, 24048]
[38048, 65482]
[1735, 1253]
[37332, 35852]
[21649, 14059]
[6305, 4597]
[14314, 10211]
[4767, 6231]
[52160, 72274]
[47025, 65184]
[49217, 61820]
[42250, 28760]
[22177, 25839]
[26259, 52560]
[12846, 8279]
[27610, 29886]
[10464, 22391]
[22627, 42044]
[10472, 14472]
[27137, 25520]
[4173, 17789]
[65217, 110861]
[38224, 119220]
[35982, 16343]
[43288, 128332]
[42413, 106067]
[21322, 68772]
[62922, 28164]
[28398, 16491]
[11296, 11500]
[49017, 61372]
[20059, 15840]
[54221, 45501]
[24939, 33514]
[5875, 3068]
[62598, 66838]
[20889, 33645]
[1484, 1345]
[12162, 20017]
[48466, 86761]
[53900, 35591]
[23885, 24060]
[5023, 5704]
[32537, 20724]
[42762, 64777]
[49446, 62043]
[349, 540]
[59154, 97953]
[11667, 8964]
[10918, 12663]
[7145, 8195]
[24490, 23635]
[18229, 33881]
[28385, 21462]
[37100, 41877]
[54595, 31518]
[12798, 9035]
[26976, 8779]
[16889, 6865]
[35377, 107817]
[45199, 50008]
[51987, 68829]
[55904, 48553]
[32693, 29596]
[53309, 95471]
[25428, 35033]
[20533, 19356]
[11507, 14186]
[14140, 8601]
[24650, 35911]
[52903, 80365]
[51734, 33928]
[682, 515]
[32958, 59908]
[58517, 32821]
[58682, 65159]
[59339, 86313]
[35021, 23570]
[9385, 13632]
[23470, 58564]
[14348, 10152]
[35518, 84983]
[16602, 8173]
[2025, 3671]
[23433, 31907]
[32854, 120057]
[35775, 30299]
[10359, 27321]
[37915, 76157]
[31770, 11449]
[63181, 43719]
[60681, 64338]
[64835, 47192]
[892, 399]
[21190, 13132]
[32334, 53086]
[47096, 48922]
[20464, 53057]
[63343, 48764]
[12302, 33316]
[32923, 69625]
[33410, 59984]
[49457, 64826]
[16630, 44673]
[2854, 3849]
[56766, 103975]
[26482, 38321]
[63128, 30185]
[20320, 38104]
[18699, 53779]
[10408, 11072]
[30510, 14580]
[57133, 60165]
[26313, 12725]
[14049, 30861]
[48014, 67436]
[8194, 34018]
[15263, 8545]
[14145, 20214]
